(
    (+ (color yellow) (size small) (stretchy stretch) (age adult))
    (+ (color yellow) (size small) (stretchy stretch) (age child))
    (+ (color yellow) (size small) (stretchy dip) (age adult))
    (+ (color yellow) (size small) (stretchy dip) (age child))
    (+ (color yellow) (size large) (stretchy stretch) (age adult))
    (- (color yellow) (size large) (stretchy stretch) (age child))
    (- (color yellow) (size large) (stretchy dip) (age adult))
    (- (color yellow) (size large) (stretchy dip) (age child))
    (+ (color purple) (size small) (stretchy stretch) (age adult))
    (- (color purple) (size small) (stretchy stretch) (age child))
    (- (color purple) (size small) (stretchy dip) (age adult))
    (- (color purple) (size small) (stretchy dip) (age child))
    (+ (color purple) (size large) (stretchy stretch) (age adult))
    (- (color purple) (size large) (stretchy stretch) (age child))
    (- (color purple) (size large) (stretchy dip) (age adult))
    (- (color purple) (size large) (stretchy dip) (age child))
    (+ (color yellow) (size small) (stretchy stretch) (age adult))
    (+ (color yellow) (size small) (stretchy stretch) (age child))
    (+ (color yellow) (size small) (stretchy dip) (age adult))
    (- (color yellow) (size small) (stretchy dip) (age child))
    (- (color yellow) (size small) (stretchy dip) (age child))
    (+ (color yellow) (size large) (stretchy stretch) (age adult))
    (+ (color yellow) (size large) (stretchy stretch) (age child))
    (+ (color yellow) (size large) (stretchy dip) (age adult))
    (- (color yellow) (size large) (stretchy dip) (age child))
    (- (color yellow) (size large) (stretchy dip) (age child))
    (+ (color purple) (size small) (stretchy stretch) (age adult))
    (+ (color purple) (size small) (stretchy stretch) (age child))
    (+ (color purple) (size small) (stretchy dip) (age adult))
    (- (color purple) (size small) (stretchy dip) (age child))
    (- (color purple) (size small) (stretchy dip) (age child))
    (+ (color purple) (size large) (stretchy stretch) (age adult))
    (+ (color purple) (size large) (stretchy stretch) (age child))
    (+ (color purple) (size large) (stretchy dip) (age adult))
    (- (color purple) (size large) (stretchy dip) (age child))
    (- (color purple) (size large) (stretchy dip) (age child))
    (+ (color yellow) (size small) (stretchy stretch) (age adult))
    (+ (color yellow) (size small) (stretchy stretch) (age adult))
    (- (color yellow) (size small) (stretchy stretch) (age child))
    (- (color yellow) (size small) (stretchy dip) (age adult))
    (- (color yellow) (size small) (stretchy dip) (age child))
    (+ (color yellow) (size large) (stretchy stretch) (age adult))
    (+ (color yellow) (size large) (stretchy stretch) (age adult))
    (- (color yellow) (size large) (stretchy stretch) (age child))
    (- (color yellow) (size large) (stretchy dip) (age adult))
    (- (color yellow) (size large) (stretchy dip) (age child))
    (+ (color purple) (size small) (stretchy stretch) (age adult))
    (+ (color purple) (size small) (stretchy stretch) (age adult))
    (- (color purple) (size small) (stretchy stretch) (age child))
    (- (color purple) (size small) (stretchy dip) (age adult))
    (- (color purple) (size small) (stretchy dip) (age child))
    (+ (color purple) (size large) (stretchy stretch) (age adult))
    (+ (color purple) (size large) (stretchy stretch) (age adult))
    (- (color purple) (size large) (stretchy stretch) (age child))
    (- (color purple) (size large) (stretchy dip) (age adult))
    (- (color purple) (size large) (stretchy dip) (age child))
    (+ (color yellow) (size small) (stretchy stretch) (age adult))
    (+ (color yellow) (size small) (stretchy stretch) (age child))
    (+ (color yellow) (size small) (stretchy dip) (age adult))
    (+ (color yellow) (size small) (stretchy dip) (age child))
    (+ (color yellow) (size small) (stretchy stretch) (age adult))
    (+ (color yellow) (size small) (stretchy stretch) (age child))
    (+ (color yellow) (size small) (stretchy dip) (age adult))
    (+ (color yellow) (size small) (stretchy dip) (age child))
    (- (color yellow) (size large) (stretchy stretch) (age adult))
    (- (color yellow) (size large) (stretchy stretch) (age child))
    (- (color yellow) (size large) (stretchy dip) (age adult))
    (- (color yellow) (size large) (stretchy dip) (age child))
    (- (color purple) (size small) (stretchy stretch) (age adult))
    (- (color purple) (size small) (stretchy stretch) (age child))
    (- (color purple) (size small) (stretchy dip) (age adult))
    (- (color purple) (size small) (stretchy dip) (age child))
    (- (color purple) (size large) (stretchy stretch) (age adult))
    (- (color purple) (size large) (stretchy stretch) (age child))
    (- (color purple) (size large) (stretchy dip) (age adult))
    (- (color purple) (size large) (stretchy dip) (age child))
)
