;;; Dataset taken from http://archive.ics.uci.edu/ml/datasets/Mushroom
(
(- (capShape x) (capSurface s) (capColor n) (bruises t) (odor p) (gillAttachment f) (gillSpacing c) (gillSize n) (gillColor k) (stalkShape e) (stalkRoot e) (stalkSurfaceAboveRing s) (stalkSurfaceBelowRing s) (stalkColorAboveRing w) (stalkColorBelowRing w) (veilType p) (veilColor w) (ringNumber o) (ringType p) (sporePrintColor k) (population s) (habitat u))
(+ (capShape x) (capSurface s) (capColor y) (bruises t) (odor a) (gillAttachment f) (gillSpacing c) (gillSize b) (gillColor k) (stalkShape e) (stalkRoot c) (stalkSurfaceAboveRing s) (stalkSurfaceBelowRing s) (stalkColorAboveRing w) (stalkColorBelowRing w) (veilType p) (veilColor w) (ringNumber o) (ringType p) (sporePrintColor n) (population n) (habitat g))
(+ (capShape b) (capSurface s) (capColor w) (bruises t) (odor l) (gillAttachment f) (gillSpacing c) (gillSize b) (gillColor n) (stalkShape e) (stalkRoot c) (stalkSurfaceAboveRing s) (stalkSurfaceBelowRing s) (stalkColorAboveRing w) (stalkColorBelowRing w) (veilType p) (veilColor w) (ringNumber o) (ringType p) (sporePrintColor n) (population n) (habitat m))
(- (capShape x) (capSurface y) (capColor w) (bruises t) (odor p) (gillAttachment f) (gillSpacing c) (gillSize n) (gillColor n) (stalkShape e) (stalkRoot e) (stalkSurfaceAboveRing s) (stalkSurfaceBelowRing s) (stalkColorAboveRing w) (stalkColorBelowRing w) (veilType p) (veilColor w) (ringNumber o) (ringType p) (sporePrintColor k) (population s) (habitat u))
(+ (capShape x) (capSurface s) (capColor g) (bruises f) (odor n) (gillAttachment f) (gillSpacing w) (gillSize b) (gillColor k) (stalkShape t) (stalkRoot e) (stalkSurfaceAboveRing s) (stalkSurfaceBelowRing s) (stalkColorAboveRing w) (stalkColorBelowRing w) (veilType p) (veilColor w) (ringNumber o) (ringType e) (sporePrintColor n) (population a) (habitat g))
(+ (capShape x) (capSurface y) (capColor y) (bruises t) (odor a) (gillAttachment f) (gillSpacing c) (gillSize b) (gillColor n) (stalkShape e) (stalkRoot c) (stalkSurfaceAboveRing s) (stalkSurfaceBelowRing s) (stalkColorAboveRing w) (stalkColorBelowRing w) (veilType p) (veilColor w) (ringNumber o) (ringType p) (sporePrintColor k) (population n) (habitat g))
(+ (capShape b) (capSurface s) (capColor w) (bruises t) (odor a) (gillAttachment f) (gillSpacing c) (gillSize b) (gillColor g) (stalkShape e) (stalkRoot c) (stalkSurfaceAboveRing s) (stalkSurfaceBelowRing s) (stalkColorAboveRing w) (stalkColorBelowRing w) (veilType p) (veilColor w) (ringNumber o) (ringType p) (sporePrintColor k) (population n) (habitat m))
(+ (capShape b) (capSurface y) (capColor w) (bruises t) (odor l) (gillAttachment f) (gillSpacing c) (gillSize b) (gillColor n) (stalkShape e) (stalkRoot c) (stalkSurfaceAboveRing s) (stalkSurfaceBelowRing s) (stalkColorAboveRing w) (stalkColorBelowRing w) (veilType p) (veilColor w) (ringNumber o) (ringType p) (sporePrintColor n) (population s) (habitat m))
(- (capShape x) (capSurface y) (capColor w) (bruises t) (odor p) (gillAttachment f) (gillSpacing c) (gillSize n) (gillColor p) (stalkShape e) (stalkRoot e) (stalkSurfaceAboveRing s) (stalkSurfaceBelowRing s) (stalkColorAboveRing w) (stalkColorBelowRing w) (veilType p) (veilColor w) (ringNumber o) (ringType p) (sporePrintColor k) (population v) (habitat g))
(+ (capShape b) (capSurface s) (capColor y) (bruises t) (odor a) (gillAttachment f) (gillSpacing c) (gillSize b) (gillColor g) (stalkShape e) (stalkRoot c) (stalkSurfaceAboveRing s) (stalkSurfaceBelowRing s) (stalkColorAboveRing w) (stalkColorBelowRing w) (veilType p) (veilColor w) (ringNumber o) (ringType p) (sporePrintColor k) (population s) (habitat m))
(+ (capShape x) (capSurface y) (capColor y) (bruises t) (odor l) (gillAttachment f) (gillSpacing c) (gillSize b) (gillColor g) (stalkShape e) (stalkRoot c) (stalkSurfaceAboveRing s) (stalkSurfaceBelowRing s) (stalkColorAboveRing w) (stalkColorBelowRing w) (veilType p) (veilColor w) (ringNumber o) (ringType p) (sporePrintColor n) (population n) (habitat g))
(+ (capShape x) (capSurface y) (capColor y) (bruises t) (odor a) (gillAttachment f) (gillSpacing c) (gillSize b) (gillColor n) (stalkShape e) (stalkRoot c) (stalkSurfaceAboveRing s) (stalkSurfaceBelowRing s) (stalkColorAboveRing w) (stalkColorBelowRing w) (veilType p) (veilColor w) (ringNumber o) (ringType p) (sporePrintColor k) (population s) (habitat m))
(+ (capShape b) (capSurface s) (capColor y) (bruises t) (odor a) (gillAttachment f) (gillSpacing c) (gillSize b) (gillColor w) (stalkShape e) (stalkRoot c) (stalkSurfaceAboveRing s) (stalkSurfaceBelowRing s) (stalkColorAboveRing w) (stalkColorBelowRing w) (veilType p) (veilColor w) (ringNumber o) (ringType p) (sporePrintColor n) (population s) (habitat g))
